"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
2,"gap","zero-comp",0.5,-1.26613903045654,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
2,"gap","decl-comp",0.5,-3.20349407196045,0.102262478966382,"Wh","English","English - Wh","LSTM"
2,"gap","decl-comp",0.5,-1.42883586883545,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
2,"gap","decl-comp",0.5,0.0775108337402344,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
2,"gap","wh-comp",0.5,-1.8009443283081,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
2,"gap","wh-comp",0.5,-0.71367645263672,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
2,"gap","wh-comp",0.5,-0.342535972595217,0.0700725223257429,"Wh","English","English - Wh","LSTM"
3,"no-gap","zero-comp",-0.5,1.22567939758301,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","zero-comp",-0.5,1.62100744247437,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","zero-comp",-0.5,3.4839768409729,0.149602162815389,"Wh","English","English - Wh","LSTM"
3,"no-gap","decl-comp",-0.5,0.961187243461609,0.102262478966382,"Wh","English","English - Wh","LSTM"
3,"no-gap","decl-comp",-0.5,1.34674263000488,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","decl-comp",-0.5,1.66075325012207,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","wh-comp",-0.5,0.613454818725586,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","wh-comp",-0.5,0.708769083023071,0.0700725223257429,"Wh","English","English - Wh","LSTM"
3,"no-gap","wh-comp",-0.5,1.02440166473389,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","zero-comp",0.5,-2.50100231170654,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","zero-comp",0.5,-1.94323912262917,0.149602162815389,"Wh","English","English - Wh","LSTM"
3,"gap","zero-comp",0.5,-1.36662721633911,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","decl-comp",0.5,-3.80998420715332,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","decl-comp",0.5,-2.90884467959404,0.102262478966382,"Wh","English","English - Wh","LSTM"
3,"gap","decl-comp",0.5,-2.87314319610596,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","wh-comp",0.5,-2.25326156616211,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","wh-comp",0.5,-1.71850156784058,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","wh-comp",0.5,-0.888812154531479,0.0700725223257429,"Wh","English","English - Wh","LSTM"
4,"no-gap","zero-comp",-0.5,1.10060787200928,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","zero-comp",-0.5,1.36379623413086,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","zero-comp",-0.5,3.44674921035767,0.149602162815389,"Wh","English","English - Wh","LSTM"
4,"no-gap","decl-comp",-0.5,-0.251719474792479,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","decl-comp",-0.5,0.539836883544925,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","decl-comp",-0.5,2.27375888824463,0.102262478966382,"Wh","English","English - Wh","LSTM"
4,"no-gap","wh-comp",-0.5,-0.0484981536865217,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","wh-comp",-0.5,0.373457670211792,0.0700725223257429,"Wh","English","English - Wh","LSTM"
4,"no-gap","wh-comp",-0.5,0.877429962158203,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"gap","zero-comp",0.5,-7.0955662727356,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
4,"gap","zero-comp",0.5,-4.54307842254639,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"gap","zero-comp",0.5,-2.28693389892578,0.149602162815389,"Wh","English","English - Wh","LSTM"
4,"gap","decl-comp",0.5,-4.19875049591064,0.102262478966382,"Wh","English","English - Wh","LSTM"
4,"gap","decl-comp",0.5,-2.26811790466309,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
4,"gap","decl-comp",0.5,-1.01573181152344,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"gap","wh-comp",0.5,-2.84238815307617,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
4,"gap","wh-comp",0.5,-1.28738307952881,0.0700725223257429,"Wh","English","English - Wh","LSTM"
4,"gap","wh-comp",0.5,-0.591178894042969,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"no-gap","zero-comp",-0.5,2.94735050201416,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
5,"no-gap","zero-comp",-0.5,3.06396675109863,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"no-gap","zero-comp",-0.5,4.42459893226624,0.149602162815389,"Wh","English","English - Wh","LSTM"
5,"no-gap","decl-comp",-0.5,1.31393814086914,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
5,"no-gap","decl-comp",-0.5,1.45228290557862,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"no-gap","decl-comp",-0.5,2.25938975811005,0.102262478966382,"Wh","English","English - Wh","LSTM"
5,"no-gap","wh-comp",-0.5,-0.663186073303224,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
5,"no-gap","wh-comp",-0.5,-0.522004127502441,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"no-gap","wh-comp",-0.5,1.04988169670105,0.0700725223257429,"Wh","English","English - Wh","LSTM"
5,"gap","zero-comp",0.5,-4.0469663143158,0.149602162815389,"Wh","English","English - Wh","LSTM"
5,"gap","zero-comp",0.5,-3.87081241607666,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
5,"gap","zero-comp",0.5,-2.76632690429688,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"gap","decl-comp",0.5,-4.92511129379272,0.102262478966382,"Wh","English","English - Wh","LSTM"
5,"gap","decl-comp",0.5,-1.84278297424316,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
5,"gap","decl-comp",0.5,-1.72628688812256,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"gap","wh-comp",0.5,-3.35689401626587,0.101378863644121,"Wh","Norwegian","Norwegian - Wh","LSTM"
5,"gap","wh-comp",0.5,-2.32205772399902,0.104408164172789,"RC","Norwegian","Norwegian - RC","LSTM"
5,"gap","wh-comp",0.5,-0.683895587921143,0.0700725223257429,"Wh","English","English - Wh","LSTM"
6,"no-gap","zero-comp",-0.5,-0.354496955871582,0.150842416341311,"RC","Norwegian","Norwegian - RC","LSTM"
6,"no-gap","zero-comp",-0.5,0.621515512466431,0.149602162815389,"Wh","English","English - Wh","LSTM"
6,"no-gap","zero-comp",-0.5,1.18477821350098,0.106943213789736,"Wh","Norwegian","Norwegian - Wh","LSTM"
6,"no-gap","decl-comp",-0.5,-0.150005698204041,0.102262478966382,"Wh","English","English - Wh","LSTM"
6,"no-gap","decl-comp",-0.5,-0.129631996154785,0.0878705402027331,"RC","Norwegian","Norwegian - RC","LSTM"
6,"no-gap","decl-comp",-0.5,0.672404289245605,0.0888203498417806,"Wh","Norwegian","Norwegian - Wh","LSTM"
