"sent_index","gap","gap_position","gap_numeric","filler_effect","err","dependency","language","lang_dep","model"
2,"gap","subject control",0.5,-4.73793697357178,0.143884123381727,"Wh","Norwegian","Norwegian - Wh","LSTM"
2,"gap","subject control",0.5,-1.6353645324707,0.187842512880701,"Wh","English","English - Wh","LSTM"
2,"gap","embed. control",0.5,-4.24777412414551,0.143383376279712,"RC","Norwegian","Norwegian - RC","LSTM"
2,"gap","embed. control",0.5,-2.60389280319214,0.171773030837311,"Wh","English","English - Wh","LSTM"
2,"gap","embed. control",0.5,-1.91666507720947,0.156388746490002,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","subject island",-0.5,-0.735692024230957,0.124656637885234,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","subject island",-0.5,-0.0196571350097638,0.0939624431323988,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","subject island",-0.5,0.493870854377748,0.120461800418648,"Wh","English","English - Wh","LSTM"
3,"no-gap","subject control",-0.5,-0.213237762451172,0.124998618372355,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","subject control",-0.5,0.631507515907288,0.187842512880701,"Wh","English","English - Wh","LSTM"
3,"no-gap","subject control",-0.5,2.95689392089844,0.143884123381727,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","embed. control",-0.5,0.122779846191406,0.156388746490002,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"no-gap","embed. control",-0.5,0.238339424133301,0.143383376279712,"RC","Norwegian","Norwegian - RC","LSTM"
3,"no-gap","embed. control",-0.5,2.91173255443573,0.171773030837311,"Wh","English","English - Wh","LSTM"
3,"gap","subject island",0.5,-0.439483165740967,0.120461800418648,"Wh","English","English - Wh","LSTM"
3,"gap","subject island",0.5,1.89978504180908,0.124656637885234,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","subject island",0.5,4.68250560760498,0.0939624431323988,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","subject control",0.5,-8.60981035232544,0.124998618372355,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","subject control",0.5,-2.41668176651001,0.143884123381727,"Wh","Norwegian","Norwegian - Wh","LSTM"
3,"gap","subject control",0.5,-1.65720796585083,0.187842512880701,"Wh","English","English - Wh","LSTM"
3,"gap","embed. control",0.5,-6.59358310699463,0.143383376279712,"RC","Norwegian","Norwegian - RC","LSTM"
3,"gap","embed. control",0.5,-3.97178983688354,0.171773030837311,"Wh","English","English - Wh","LSTM"
3,"gap","embed. control",0.5,-3.56039094924927,0.156388746490002,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","subject island",-0.5,-1.16086339950561,0.124656637885234,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","subject island",-0.5,0.351738929748535,0.120461800418648,"Wh","English","English - Wh","LSTM"
4,"no-gap","subject island",-0.5,0.72113847732544,0.0939624431323988,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","subject control",-0.5,0.805343985557556,0.187842512880701,"Wh","English","English - Wh","LSTM"
4,"no-gap","subject control",-0.5,3.72751903533936,0.143884123381727,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","subject control",-0.5,4.15073299407959,0.124998618372355,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","embed. control",-0.5,0.30132484436035,0.156388746490002,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"no-gap","embed. control",-0.5,1.44691944122314,0.143383376279712,"RC","Norwegian","Norwegian - RC","LSTM"
4,"no-gap","embed. control",-0.5,2.91788470745086,0.171773030837311,"Wh","English","English - Wh","LSTM"
4,"gap","subject island",0.5,-0.656116485595703,0.124656637885234,"Wh","Norwegian","Norwegian - Wh","LSTM"
4,"gap","subject island",0.5,-0.306970119476318,0.0939624431323988,"RC","Norwegian","Norwegian - RC","LSTM"
4,"gap","subject island",0.5,-0.0744013786315918,0.120461800418648,"Wh","English","English - Wh","LSTM"
